Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2014,183744,237295,201101,169350,195461,199433,206402,207120,208444,218574,227538,246397,257073,305974,282695,267241,322870,321673,323592,321576,325138,318660,316755,332667,308322,338634,306961,300034,338752,366110,378607,400778,411693,407054,416058,404607,385116,417961,361274,355124,353849,353158,363113,372423,373128,371752,353487,378588,373442,379045,384409,377803,371376,367149,363027,350932,332684,342875,333915,315151,302177,294606,297222,249517,230425,201799,176325,141870,126181,145988,146753,142191,141045,137877,128598,117471,112378,102976,98718,91642,84314,80484,77920,72769,64673,57387,49466,43295,35543,27313,21800,18306,14701,10084,7083,5172,3832,2474,1781,1359,2838
2015,199275,197591,237780,201100,169380,195576,199553,206252,207012,208419,218606,227519,246372,256965,305900,282694,267134,322664,321678,323631,321370,324902,318462,316596,332553,308168,338519,307113,300357,339080,366438,378990,401126,411805,407133,415991,404546,385104,417643,360943,354656,353348,352555,362460,371639,372238,370855,352494,377344,372173,377751,382915,376283,369769,365434,361224,349083,330790,340908,331830,313006,299950,292388,294743,247287,228183,199584,173972,139862,124280,143470,143945,139162,137755,134359,124988,113837,108401,98800,94364,87134,79764,75667,72682,67195,59259,51931,44409,38304,31058,23519,18547,15345,12036,8120,5643,4040,2933,1837,1310,2995
2016,201523,214239,197973,237636,201084,169399,195526,199430,206148,207015,208448,218658,227460,246278,256963,305984,282667,266926,322617,321641,323431,321098,324667,318337,316430,332348,308011,338449,307124,300495,339255,366562,379126,401172,411809,406966,415773,404535,384667,417133,360544,354190,352741,351872,361685,370720,371195,369814,351410,375985,370822,376358,381378,374686,368073,363637,359182,347045,328805,338677,329551,310775,297535,289728,292084,244977,225649,197067,171575,137746,122225,140802,141040,136109,134324,130664,121156,109793,104238,94708,89865,82520,75089,70654,67212,61749,53854,46776,39471,33713,26793,20100,15534,12684,9812,6503,4427,3111,2198,1374,3067
2017,196873,216007,214590,197963,237630,201142,169367,195401,199267,206089,206976,208344,218583,227389,246260,257011,305886,282424,266868,322587,321441,323185,320908,324507,318108,316230,332156,307919,338460,307272,300731,339442,366816,379219,401359,411784,406818,415896,404324,384350,416672,360097,353646,352128,351210,360912,369817,370276,368754,350238,374649,369368,374825,379775,373031,366236,361796,357104,344853,326668,336465,327186,308212,295064,287147,289366,242369,222904,194477,169105,135414,120056,137966,137762,132789,130681,126643,117002,105628,99840,90094,85040,77431,69977,65175,61513,55932,48342,41477,34507,29101,22798,16640,12737,10266,7747,5023,3341,2308,1586,3068
2018,190653.1745,197474.1106,216428.577,214887.7372,198129.3142,237631.9111,201094.1628,169304.1876,195325.1283,199216.7354,206056.4333,206929.1774,208315.3939,218463.4342,227244.0742,246073.7962,256770.8906,305679.3048,282157.1779,266693.7255,322357.7325,321278.0331,323108.749,320870.6573,324544.6983,318145.8732,316326.8757,332298.297,308105.4565,338692.0594,307466.101,300883.8912,339569.191,366829.8619,379094.8876,401142.9244,411553.5516,406473.8159,415422.3588,403735.0965,383887.4728,416031.4481,359532.8214,352988.86,351324.9686,350329.0451,359946.6766,368756.4548,369114.9719,367556.3005,349021.613,373248.3545,367924.2866,373263.79,377942.893,371163.3825,364326.626,359858.2132,355084.3643,342783.287,324538.9279,334074.6311,324702.1971,305674.7093,292483.1239,284394.7369,286294.2155,239477.7979,220027.9921,191551.8141,166393.8838,133001.4234,117620.3909,134919.7008,134302.042,129072.9502,126669.4588,122281.2228,112461.0715,101032.4094,94988.09747,85194.56086,79788.88532,72096.7109,64510.61047,59180.73295,55187.21038,49470.62561,42040.68682,35351.30787,28710.85564,23523.05824,17797.52422,12454.52423,9058.101662,6859.758049,4796.511832,2831.847783,1678.013659,1004.598027,577.7610949
2019,178191.195,191234.8129,197858.1989,216727.2703,215069.4354,198131.8452,237576.3475,201022.4867,169240.8067,195278.5986,199187.9532,206012.6427,206903.1298,208206.3283,218329.7345,227079.0705,245852.3038,256606.5153,305402.7606,281982.3328,266510.7719,322203.2701,321208.5639,323077.7019,320914.6384,324590.3103,318251.1102,316470.2999,332508.678,308325.5134,338916.5133,307631.9467,301005.5931,339593.0158,366727.5672,378907.9056,400936.7689,411223.0398,406028.6271,414834.4692,403267.1865,383312.0292,415397.9623,358880.187,352197.1361,350458.9429,349408.6778,358932.8663,367619.2018,367937.0707,366304.2591,347744.2572,371821.5093,366426.7448,371504.6101,376098.0839,369278.5043,362429.5887,357882.9663,353014.9901,340619.0606,322301.8281,331618.6429,322115.8523,303086.0556,289775.2079,281474.034,282990.1947,236489.7262,216821.2268,188581.8153,163526.3127,130387.4455,115106.7047,131638.5998,130659.672,125232.906,122436.9277,117669.1945,107702.9256,96255.45059,89953.04438,80057.98085,74417.81372,66584.00461,58688.94301,53202.73145,48917.83294,43121.78786,35919.99684,29490.14755,23271.59642,18416.45813,13360.61369,8884.113007,6070.924657,4259.492838,2711.243117,1425.299153,731.3238782,365.9630305
2020,167554.1771,178737.5236,191608.692,198132.679,216911.8171,215073.2082,198086.4018,237492.7676,200948.0922,169201.1711,195251.1609,199146.4437,205987.5958,206795.9944,208080.3604,218173.3696,226877.4956,245698.2949,256378.7686,305218.3405,281792.765,266386.9459,322138.7076,321183.0856,323127.3995,320965.1303,324703.5119,318401.0907,316676.5697,332752.703,308536.078,339106.2143,307762.4366,301032.8789,339506.2883,366554.7815,378721.6362,400623.7124,410782.2607,405463.2194,414364.2317,402671.4228,382738.8293,414655.5051,358084.0038,351339.0797,349549.6985,348437.0716,357839.1169,366462.7808,366701.8949,364984.7545,346436.5051,370334.0377,364728.2014,369725.2654,374225.405,367396.88,360485.6199,355845.743,350842.6437,338328.1266,319993.7096,329047.2896,319462.8955,300357.9427,286881.2775,278312.1413,279557.4808,233131.1472,213550.0246,185419.3267,160394.2772,127673.8118,112378.8992,128157.9148,126870.3639,121150.5179,117925.4585,112802.8908,102723.2872,91258.28251,84634.22008,74769.00179,68826.13632,60668.09556,52847.12226,47241.44922,42719.73223,36917.15067,30027.95887,23956.65984,18262.23824,13858.78581,9554.027542,5968.989577,3778.602761,2412.851982,1366.961541,621.8395658,266.4128225
2021,157850.7343,168070.3012,179088.7057,191875.8563,198302.5217,216916.6167,215024.8134,198017.5567,237405.8076,200901.7747,169178.0195,195211.2124,199123.0418,205881.9366,206672.1035,207933.1001,217982.02,226738.0627,245483.9577,256227.5954,305017.0209,281665.585,266337.4712,322118.1411,321237.4678,323183.2672,321082.3775,324861.9014,318614.1128,316914.7281,332986.1693,308714.5938,339256.2854,307796.2053,300962.485,339353.2396,366382.1403,378433.756,400202.9991,410218.9044,405013.1738,413760.4248,402079.5141,382064.7165,413745.0692,357221.2434,350438.3194,348589.4416,347387.3425,356728.8121,365249.5189,365400.714,363633.3466,345073.1484,368644.1336,363012.4608,367918.4451,372357.4791,365469.0912,358479.0553,353708.8973,348537.5897,335965.0419,317575.2815,326408.3873,316663.5593,297437.224,283740.4047,275025.7762,275683.8414,229704.1195,210060.5764,181954.0027,157139.1802,124721.5312,109478.195,124530.1593,122830.5326,116784.2121,113152.9755,107697.1045,97494.62412,85961.17109,79141.61236,69243.28243,62800.66018,54712.88157,47002.54928,41327.9897,36641.24439,30922.79709,24444.73468,18841.21186,13774.11046,9933.370377,6434.013818,3723.468593,2144.783588,1218.513328,596.9840402,226.5289741
2022,149068.7201,158339.097,168402.0586,179339.6068,192041.3692,198307.7721,216868.7052,214950.9492,197945.787,237351.9254,200874.9908,169144.0155,195189.0302,199021.8151,205759.7308,206527.4709,207752.7831,217850.4574,226543.5252,245342.5229,256061.6949,304883.2199,281617.1904,266324.3751,322177.4272,321297.773,323306.4062,321244.0808,325084.6136,318859.2678,317142.7671,333184.8792,308856.6996,339299.7697,307730.6341,300832.7521,339200.2024,366111.0116,378044.3526,399662.3925,409773.0135,404430.9744,413162.4836,401381.5671,381234.3951,412759.0912,356316.1024,349487.122,347551.026,346324.0141,355563.8864,363972.6651,364068.4207,362225.3659,343522.7577,366940.536,361270.9698,366119.0967,370445.7054,363479.4483,356377.927,351438.3067,346162.7122,333489.5558,315094.6539,323623.2678,313664.5046,294262.5725,280477.9669,271306.5928,271734.1564,226045.8384,206228.7559,178352.1865,153592.5554,121577.9549,106452.531,120655.7294,118499.464,112157.8841,108137.6956,102321.1444,91937.9451,80479.68901,73387.66905,63268.97226,56720.35979,48739.52202,41189.12366,35512.08187,30751.15617,25224.80882,19266.46739,14242.58032,9895.252845,6704.75035,4022.378035,2117.705152,1084.886829,532.6782441,217.4743943
2023,141114.0612,149531.8131,158653.0133,168639.0526,179495.2244,192047.2507,198264.7573,216795.0439,214873.8044,197901.532,237321.0821,200835.3082,169125.4239,195090.6537,198904.7199,205617.2656,206350.2847,207629.5482,217666.5446,226415.9374,245186.5371,255952.4823,304834.8959,281607.2942,266377.1558,322242.503,321425.0377,323474.1689,321469.4411,325340.2056,319094.2453,317337.6184,333344.0236,308901.8506,339234.3692,307603.9282,300702.9889,338955.8917,365741.9014,377541.3427,399237.0164,409191.9434,403856.4025,412455.6627,400518.1486,380335.7992,411725.4241,355360.4836,348457.6791,346501.5309,345208.4662,354339.2521,362665.8106,362681.4358,360622.8999,341963.166,365212.4169,359539.7958,364279.7803,368473.2391,361399.9954,354142.6464,349102.1906,343676.0137,330952.4284,312476.6406,320638.1219,310400.6746,290967.9594,276776.1031,267518.14,267516.012,222020.9769,202246.615,174422.8797,149812.091,118297.1834,103216.2447,116493.1463,113904.1932,107289.6217,102843.6694,96594.59037,86177.1997,74723.11142,67147.00624,57226.74306,50606.93981,42782.90099,35456.21298,29860.42104,25135.54809,19923.58539,14596.25786,10254.96287,6694.138628,4200.783416,2292.243158,1072.912071,474.7288514,194.0485351
