Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2010,94987,103901,107606,108014,108505,114760,119284,128792,133742,159755,147699,139156,168384,167728,167989,167511,168971,166775,166133,174262,160012,175407,158700,153372,171772,185261,190418,200579,206145,202711,208094,202284,191696,208989,179559,176831,177049,175889,182044,187394,188150,188330,179728,191828,189249,192802,194686,191733,188724,186704,183879,177568,167930,173347,169309,159064,152696,149199,150144,126495,116615,102367,89179,71914,63810,74367,75058,72394,72340,70304,65457,60167,57965,53620,52069,49727,47622,47857,48758,48591,44503,41025,36497,32608,28099,21790,17687,15430,12815,9224,7006,5293,4050,2878,2121,1660,1185,1118,504,358,977
2011,82126,101439,104093,107613,108129,108672,114809,119218,128772,133762,159794,147738,139158,168323,167653,167938,167400,168798,166668,165930,173868,159917,175370,158636,153276,171601,185146,190275,200383,205899,202469,207778,201934,191355,208577,179239,176458,176739,175455,181577,186856,187542,187631,179098,191013,188454,191808,193752,190798,187654,185584,182741,176380,166808,172196,168095,157787,151382,147801,148609,125211,115261,101141,88151,70976,62897,73166,73703,71039,70748,68609,63804,58478,56073,51806,50094,47637,45433,45488,45962,45597,41586,37983,33571,29772,25423,19407,15633,13459,11084,7922,5870,4374,3330,2326,1676,1327,926,896,376,1036
2012,97271,88055,101637,104072,107711,108288,108715,114749,119243,128782,133796,159780,147691,139104,168251,167562,167869,167213,168667,166503,165546,173713,159866,175282,158526,153143,171466,185018,190105,200235,205638,202168,207502,201568,190997,208191,178803,176194,176304,175004,181048,186266,186888,186871,178353,190205,187608,190927,192689,189772,186596,184500,181607,175239,165679,170928,166767,156506,150017,146438,147152,123817,114010,99980,87035,69901,61885,71902,72250,69552,69031,66969,61998,56616,54057,49871,47978,45309,43080,42971,43115,42603,38422,34907,30597,26865,22718,17228,13620,11588,9447,6579,4819,3497,2622,1823,1288,1017,704,692,1027
2013,113340,104129,88264,101654,104172,107837,108343,108673,114710,119248,128818,133833,159791,147651,139059,168195,167462,167684,167176,168527,166231,165485,173654,159796,175188,158408,153027,171384,184870,189937,199992,205446,201920,207188,201246,190607,207709,178543,175793,175838,174540,180485,185590,186237,186139,177564,189342,186726,189944,191631,188724,185482,183386,180439,174063,164489,169636,165414,155182,148656,144981,145610,122503,112618,98741,85884,68820,60823,70525,70784,67959,67314,65145,60073,54728,52014,47822,45835,43004,40665,40377,40322,39544,35291,31774,27621,24087,20053,15052,11764,9989,7925,5427,3899,2782,2034,1424,989,765,540,1315
2014,95153,122796,104333,88242,101689,104238,107868,108289,108628,114695,119255,128823,133775,159708,147609,138999,168113,167310,167598,167119,168268,166122,165427,173630,159735,175040,158230,152950,171248,184703,189769,199808,205228,201675,206865,200916,190264,207575,178254,175392,175376,174008,179928,184975,185582,185377,176724,188499,185742,188952,190614,187608,184412,182132,179158,172850,163206,168292,163981,153746,147295,143426,144003,121027,111163,97422,84600,67689,59708,69094,69169,66308,65580,63141,58050,52821,49875,45790,43600,40670,38268,37688,37479,36400,32256,28669,24772,21325,17602,12992,10055,8378,6646,4434,3135,2217,1593,1068,760,587,1418
2015,102859,102420,123040,104313,88248,101746,104293,107790,108255,108617,114732,119233,128805,133747,159666,147581,138961,167970,167245,167564,166938,168149,166029,165318,173511,159587,174871,158142,152819,171103,184518,189571,199586,204931,201379,206576,200567,190163,207215,177838,174908,174856,173523,179342,184316,184860,184637,175961,187524,184759,187901,189490,186464,183203,180869,177816,171518,161865,166884,162531,152212,145746,141911,142312,119494,109600,95978,83121,66356,58529,67516,67445,64488,63592,61034,56020,50771,47676,43433,41196,38198,35751,34977,34533,33143,29101,25593,21958,18520,15157,11044,8437,6936,5318,3529,2453,1747,1214,796,561,1452
2016,104752,110605,102614,122936,104302,88251,101733,104231,107739,108250,108646,114750,119184,128769,133724,159666,147563,138849,167866,167160,167425,166788,168015,165958,165220,173340,159420,174719,157981,152673,170910,184265,189335,199301,204648,201019,206251,200514,189719,206742,177415,174480,174317,172902,178722,183594,184101,183830,175128,186464,183750,186834,188311,185234,181971,179550,176354,170105,160393,165282,160962,150674,144112,140094,140495,117931,107913,94380,81590,65005,57259,65874,65697,62667,61601,58849,53786,48440,45363,41207,38750,35757,33156,32236,31448,29972,26136,22708,19286,16065,12898,9281,6935,5646,4310,2801,1913,1331,910,597,1442
2017,102046,112299,110764,102610,122930,104337,88252,101685,104126,107711,108195,108575,114687,119139,128710,133726,159589,147434,138767,167804,167012,167266,166642,167887,165800,165040,173164,159248,174528,157834,152496,170711,184056,189050,199042,204328,200699,206181,200173,189311,206280,176920,174000,173745,172285,178087,182808,183318,182953,174217,185417,182653,185634,187009,184003,180592,178158,174897,168541,158856,163750,159342,148902,142372,138279,138573,116205,106174,92697,80033,63521,55922,64132,63698,60656,59419,56531,51396,46087,42957,38691,36182,33033,30488,29305,28352,26729,23046,19818,16598,13691,10756,7541,5622,4544,3392,2126,1418,990,671,1404
2018,98649.30968,102287.8353,112479.9642,110886.1697,102687.7759,122914.1134,104315.0496,88224.86134,101642.2075,104106.609,107688.1201,108160.6358,108539.6776,114618.383,119047.8967,128584.1067,133590.2869,159491.0598,147220.3292,138611.1658,167646.0714,166883.02,167173.3191,166522.6016,167783.8906,165656.7334,164916.2176,173022.4843,159126.4152,174400.6077,157706.3412,152352.7515,170534.5009,183826.6701,188772.9739,198716.9427,204001.6643,200315.4704,205754.1606,199671.323,188877.1399,205690.8989,176402.3477,173427.974,173078.276,171575.4786,177299.8973,181958.8836,182363.9943,181982.2766,173239.2417,184328.8867,181501.2923,184414.5326,185651.7902,182588.2345,179147.9499,176705.6981,173387.2525,166998.9673,157262.8862,161989.6587,157549.9649,147093.8397,140481.4985,136320.3938,136480.3525,114226.6792,104227.4366,90766.19667,78250.7738,61974.63359,54382.83566,62223.4488,61597.88053,58432.45777,57035.75551,54014.80915,48849.73317,43550.0103,40386.98593,36138.46575,33489.97644,30335.52574,27665.91492,26135.26363,24953.4232,23163.23512,19610.78157,16504.99399,13475.58424,10784.07899,8172.037244,5487.399789,3884.47173,2949.719657,2041.923376,1167.892797,696.8226875,424.5601238,243.4903797
2019,92187.29464,98881.82203,102447.0733,112597.5138,110966.9166,102683.7445,122891.1397,104285.0007,88193.30241,101625.5559,104086.6389,107659.7561,108127.347,108481.4666,114539.5417,118938.4671,128455.5334,133505.2217,159274.7904,147055.7035,138485.0635,167530.2643,166799.2268,167069.8196,166436.3792,167656.1795,165551.5059,164800.763,172911.0924,159029.2575,174280.9854,157576.8007,152212.6966,170341.6452,183579.7129,188485.3184,198422.6411,203631.4423,199914.3529,205249.8926,199212.8209,188334.728,205085.2041,175819.4867,172756.2122,172362.4982,170813.8811,176472.2862,181007.6688,181397.4741,180962.9667,172228.0516,183175.4215,180318.3281,183110.0155,184261.5996,181167.2512,177712.2058,175210.0551,171832.529,165360.1001,155603.9787,160205.8852,155679.0104,145188.2591,138540.1601,134310.5454,134213.0293,112192.6245,102117.1726,88800.78267,76392.2901,60307.17798,52802.13602,60228.21083,59399.3073,56142.93176,54555.19528,51396.14057,46216.93135,41002.63288,37778.91325,33500.69149,30810.97378,27580.15151,24718.67081,23046.29398,21667.43006,19751.11232,16367.17489,13429.41779,10638.15728,8211.940738,5960.064994,3799.906873,2526.95558,1779.150017,1123.590182,574.6440047,299.0323105,154.0378899
