Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2012,90171,80918,93655,95109,98391,98872,99910,103925,108339,117563,123317,146343,135119,128225,154788,154515,156037,154364,156829,152678,151478,159206,148580,163419,148386,146342,166243,179798,187253,199235,205200,204348,208397,202952,194296,210109,182684,179601,178496,179205,183338,187682,187819,186680,177115,190637,188196,190731,194222,190751,187626,185777,184683,178853,170346,175478,170988,162520,156122,152350,154638,129728,120424,105604,92933,75426,67752,78486,79446,77938,77796,77248,73249,67457,65529,60305,58513,54565,49727,46661,44519,40577,36757,32949,28996,26112,21901,18036,15068,13194,11102,7928,5929,4644,3639,2362,1812,1346,942,676,1114
2013,105604,96597,81119,93691,95113,98517,98884,99854,103901,108307,117562,123342,146326,135127,128211,154802,154459,155924,154400,156896,152648,151404,159107,148568,163498,148558,146669,166921,180601,188060,200153,205896,204936,208805,203406,194572,210297,182896,179641,178492,179171,183262,187542,187709,186531,176966,190354,187964,190447,194015,190497,187336,185405,184351,178479,169921,175087,170530,161989,155533,151854,153966,129178,119822,105047,92390,74841,67134,77756,78523,76959,76689,76006,71948,66135,64051,58802,56890,52777,47923,44732,42538,38521,34617,30860,26838,24036,19909,16154,13369,11480,9526,6722,4832,3708,2913,1818,1368,1039,695,1284
2014,88591,114499,96768,81108,93772,95195,98534,98831,99816,103879,108283,117574,123298,146266,135086,128242,154757,154363,155994,154457,156870,152538,151328,159037,148587,163594,148731,147084,167504,181407,188838,200970,206465,205379,209193,203691,194852,210386,183020,179732,178473,179150,183185,187448,187546,186375,176763,190089,187700,190093,193795,190195,186964,185017,183869,178082,169478,174583,169934,161405,154882,151180,153219,128490,119262,104377,91725,74181,66473,76894,77584,75883,75465,74736,70548,64650,62503,57186,55118,50972,46046,42796,40441,36369,32417,28718,24694,21970,17941,14321,11745,9928,8055,5650,3948,2955,2239,1406,1021,772,1420
2015,96416,95171,114740,96787,81132,93830,95260,98462,98757,99802,103874,108286,117567,123218,146234,135113,128173,154694,154433,156067,154432,156753,152433,151278,159042,148581,163648,148971,147538,167977,181920,189419,201540,206874,205754,209415,203979,194941,210428,183105,179748,178492,179032,183118,187323,187378,186218,176533,189820,187414,189850,193425,189819,186566,184565,183408,177565,168925,174024,169299,160794,154204,150477,152431,127793,118583,103606,90851,73506,65751,75954,76500,74674,74163,73325,68968,63066,60725,55367,53168,48936,44013,40690,38149,34052,30158,26338,22451,19784,15901,12475,10110,8409,6718,4591,3190,2293,1719,1041,749,1543
2016,96771,103634,95359,114700,96782,81148,93793,95199,98409,98765,99802,103908,108276,117509,123239,146318,135104,128077,154751,154481,156006,154310,156652,152379,151210,159008,148591,163730,149143,147822,168345,182297,189791,201871,207161,205947,209522,204021,194948,210391,183129,179710,178424,178970,182963,187126,187094,185984,176282,189521,187072,189524,193067,189452,186102,184087,182828,176940,168412,173395,168589,160101,153423,149634,151589,127046,117736,102687,89985,72741,64966,74928,75343,73442,72723,71815,67370,61353,58875,53501,51115,46763,41933,38418,35764,31777,27718,24068,20185,17648,13895,10819,8599,7038,5502,3702,2514,1780,1288,777,1625
2017,94827,103708,103826,95353,114700,96805,81115,93716,95141,98378,98781,99769,103896,108250,117550,123285,146297,134990,128101,154783,154429,155919,154266,156620,152308,151190,158992,148671,163932,149438,148235,168731,182760,190169,202317,207456,206119,209715,204151,195039,210392,183177,179646,178383,178925,182825,187009,186958,185801,176021,189232,186715,189191,192766,189028,185644,183638,182207,176312,167812,172715,167844,159310,152692,148868,150793,126164,116730,101780,89072,71893,64134,73834,74064,72133,71262,70112,65606,59541,56883,51403,48858,44398,39489,35870,33161,29203,25296,21659,17909,15410,12042,9099,7115,5722,4355,2897,1923,1318,915,1664
2018,91893.96628,95103.97416,103884.6556,103941.6281,95399.19987,114689.8085,96770.34944,81079.71027,93674.59925,95110.50234,98362.36348,98761.89464,99750.687,103854.0515,108206.002,117498.275,123212.2857,146239.6552,134950.6876,128054.8855,154715.0125,154378.7269,155908.3735,154306.97,156727.4656,152444.4401,151365.2814,159218.5176,148916.3703,164218.7462,149690.2223,148470.5239,169010.1939,182964.3166,190316.2546,202408.4748,207535.061,206142.7271,209679.8777,204072.5992,194955.0805,210293.1569,183105.5999,179540.0438,178222.048,178738.7827,182625.8742,186766.8059,186721.4001,185508.6398,175742.3422,188885.7226,186391.8316,188818.3955,192299.2976,188566.8259,185156.8158,183095.9831,181634.5543,175703.3487,167186.3715,171998.4665,167060.5549,158484.4522,151886.8305,147951.1827,149700.3454,125153.8541,115688.851,100712.7247,88059.4258,70972.83508,63214.12629,72670.34731,72705.18594,70642.22248,69661.75082,68318.12876,63684.24493,57574.68541,54721.48421,49189.97969,46441.11422,41923.9753,36973.67688,33197.03476,30368.12511,26410.9429,22539.02196,18957.5689,15343.68261,12867.0042,9746.623599,7091.601474,5295.934076,4026.054246,2859.709294,1747.071139,1043.743362,627.6191341,334.874001
2019,85917.56693,92161.20478,95263.81357,103998.4892,104000.2806,95397.77872,114655.5904,96733.84234,81048.41812,93649.63178,95100.0637,98347.92326,98743.6389,99715.56132,103817.7978,108163.4673,117435.3425,123171.4973,146206.3471,134909.6618,128006.2704,154674.6286,154379.8544,155964.2177,154429.4241,156886.5559,152641.2707,151602.3796,159504.9287,149199.6571,164520.3089,149949.7131,148719.3421,169216.4617,183123.1348,190423.3917,202506.2305,207577.1794,206127.5089,209618.8945,204002.3185,194875.6531,210213.8892,182995.9507,179379.3439,178036.7288,178543.5079,182392.382,186531.1528,186434.2263,185216.4326,175424.2881,188565.992,186031.9719,188384.8336,191857.2935,188099.2406,184637.7174,182549.8062,181034.3864,175077.4879,166512.0651,171217.5581,166218.4464,157674.5202,150980.3674,146913.9065,148536.7622,124070.6532,114518.4857,99602.14689,86966.13428,69986.00169,62249.65656,71381.4288,71246.9767,69104.41384,67931.52047,66377.54387,61640.35335,55445.80431,52428.24543,46817.98334,43915.53338,39312.34093,34273.16816,30454.99537,27518.51103,23583.34255,19774.72746,16284.28439,12847.82479,10446.05091,7620.925549,5296.371331,3739.120811,2652.65685,1729.965587,950.6784761,497.7890447,229.6721219
2020,80815.55495,86168.53099,92316.84429,95368.72565,104058.0551,103999.5057,95369.92627,114613.0419,96697.07713,81027.23146,93639.83939,95086.6097,98330.08887,98709.5102,99681.459,103777.8191,108106.4809,117397.5657,123144.7547,146163.3395,134859.833,127974.2565,154677.5529,154436.9915,156089.9329,154588.2929,157091.3956,152882.5291,151877.388,159810.9782,149475.9735,164808.1641,150202.4771,148903.0595,169366.0418,183229.4067,190518.2972,202550.8324,207565.5815,206071.6054,209550.5643,203923.1596,194806.0425,210091.8176,182836.0047,179196.9972,177846.5974,178320.5705,182167.9042,186250.7897,186147.293,184889.0454,175135.6488,188211.6677,185615.7832,187965.6974,191396.2927,187587.6015,184104.4261,181965.0273,180410.4125,174393.1415,165778.9341,170380.6447,165397.9672,156764.5456,149954.6025,145806.6945,147291.2527,122852.56,113293.4297,98402.68897,85793.07212,68951.36129,61177.97091,69990.90581,69742.7024,67437.41116,66055.15603,64305.5864,59420.26974,53178.99361,49959.18079,44328.90856,41238.2157,36497.91509,31496.37621,27649.56135,24623.54835,20738.2272,17028.54618,13672.28295,10460.80533,8193.055531,5710.092666,3751.766198,2471.601539,1609.535006,943.7095884,454.1045517,182.1610037
2021,76158.15828,81052.66793,86314.80979,92419.06525,95423.82517,104057.7276,103969.5424,95334.88636,114569.8802,96672.07306,81019.00353,93626.89492,95069.6831,98296.5205,98676.20656,99643.6561,103723.8012,108072.431,117373.0107,123109.4519,146110.4913,134827.2093,127977.7506,154736.0471,154562.7118,156251.8649,154791.524,157340.9928,153161.2375,152170.3285,160108.4645,149739.0254,165087.4419,150389.6091,149036.4633,169466.5118,183322.802,190562.88,202542.4056,207512.6095,206007.5424,209472.7979,203854.2727,194696.5695,209912.598,182654.4504,179010.1201,177629.7897,178106.6798,181900.2839,185970.9043,185826.0748,184593.4129,174815.454,187800.9118,185215.5564,187527.5608,190890.7173,187062.536,183532.3257,181357.8034,179727.0738,173648.6141,164993.2303,169568.4602,164474.9548,155732.2971,148858.8208,144622.172,145887.3933,121577.5426,111969.9656,97114.90117,84563.97161,67798.81942,60020.30641,68557.48465,68108.5293,65625.71111,64049.51772,62049.29862,57049.90635,50732.69426,47362.17342,41683.77089,38344.173,33597.19243,28647.93114,24791.17983,21701.29439,17901.80166,14335.03369,11163.84021,8229.542665,6158.291933,4057.984233,2487.908902,1504.137879,880.1770277,451.4685844,166.1750602
2022,71940.2887,76382.54467,81190.94739,86410.8803,92472.88604,95423.90605,104028.1231,103931.7005,95299.29339,114540.5576,96662.5285,81008.04675,93610.52589,95037.60449,98263.77777,98639.32389,99592.37967,103691.7846,108050.6426,117340.2025,123065.8529,146076.283,134831.9615,128027.1262,154863.1843,154724.3254,156458.6123,155038.6851,157629.173,153458.1082,152454.9646,160391.7771,149994.0721,165294.7901,150526.0761,149126.7207,169554.7476,183368.1454,190557.5899,202493.8612,207451.1496,205934.4916,209406.0167,203743.4771,194534.4977,209709.0147,182468.4706,178797.0819,177422.1747,177850.9524,181633.4237,185657.6456,185537.3783,184265.1029,174443.2831,187408.5126,184796.7915,187046.5515,190372.9742,186498.7079,182939.4391,180692.258,178983.1382,172850.6908,164233.8351,168653.532,163425.354,154628.9365,147687.2217,143283.9738,144418.4952,120199.8733,110548.2992,95766.64865,83191.53503,66552.56501,58827.96192,66997.12816,66328.89655,63687.46769,61860.2024,59634.06763,54486.39167,48154.08917,44595.99859,38816.11156,35354.69864,30614.13612,25737.60183,21896.91536,18778.04669,15109.43369,11737.89282,8808.937939,6205.158273,4390.592509,2699.52418,1518.536029,824.5576865,421.7202688,165.2104527
2023,68117.39422,72153.08496,76513.47343,81281.75875,86461.57904,92473.31755,95397.08978,103990.603,103893.2203,95275.1469,114529.5584,96649.7322,80994.13082,93579.29326,95006.3349,98227.55766,98589.11672,99562.23452,103671.6325,108021.1895,117299.4877,123037.9618,146082.5455,134884.9781,128133.2592,155026.3368,154930.326,156709.6359,155323.9396,157936.1543,153746.5035,152726.1731,160666.3414,150183.9482,165446.6407,150619.0558,149205.9686,169598.8998,183365.5428,190514.8158,202436.8129,207380.948,205872.6736,209296.0035,203578.0019,194350.2492,209500.5657,182256.4996,178593.4761,177173.2217,177596.2572,181334.8008,185377.4551,185216.4199,183882.4604,174090.1414,186997.5823,184336.5851,186555.0455,189816.4926,185915.5923,182289.0888,179967.1858,178185.8415,172082.7043,163377.1579,167610.5467,162302.8056,153449.9354,146360.5588,141884.394,142831.0977,118719.2493,109061.0831,94257.55708,81706.08863,65270.13526,57527.43963,65294.47785,64423.33828,61566.70064,59510.69624,57016.545,51778.53703,45401.31165,41588.39776,35847.38667,32272.79391,27557.89367,22781.7627,18991.9595,15889.65541,12406.26541,9289.296008,6662.667971,4438.109113,2929.997861,1652.538265,834.4837462,395.6756673,154.3243515
2024,64667.77765,68319.63107,72277.3202,76599.45131,81329.78443,86462.29858,92447.64063,95362.98435,103952.4101,103867.1544,95266.24546,114514.7087,96633.41176,80967.39958,93548.86674,94971.78138,98178.08112,98559.83695,99543.58084,103644.07,107984.4563,117273.7498,123044.1378,146141.0304,134997.7577,128269.2305,155233.9771,155180.0583,156999.2384,155627.8183,158234.3224,154021.4261,152988.9001,160871.2841,150323.5669,165550.79,150700.6859,149246.731,169598.7489,183327.1147,190463.8477,202371.5285,207322.4814,205768.1896,209130.1844,203389.7302,194161.6885,209263.0244,182054.3227,178348.5992,176925.5819,177311.2977,181069.0127,185065.6079,184841.2942,183521.8649,173720.0072,186545.5239,183867.3766,186026.2738,189242.1783,185275.4408,181580.0512,179190.0895,177421.7497,171215.0437,162398.1163,166494.4425,161104.0029,152111.7732,144973.6963,140371.6865,141124.2566,117171.6256,107392.4289,92622.68745,80178.93832,63868.58574,56105.50004,63469.83669,62333.42462,59285.0123,56959.11277,54245.90716,48881.32187,42399.62904,38468.08765,32779.45593,29106.7332,24444.5407,19805.18755,16111.24507,13082.52981,9846.912792,7047.576291,4780.378887,2970.973275,1798.861091,910.3310356,401.0501126,144.7935878
2025,61494.53376,64860.44392,68437.7687,72358.89612,76645.01109,81330.74589,86438.57044,92414.87028,95328.23198,103926.5797,103857.71,95254.14075,114495.6925,96601.85143,80941.3729,93515.27815,94924.42192,98149.45583,98542.03396,99517.76454,103609.5189,107961.5129,117280.4616,123094.2503,146264.232,135142.0109,128442.0251,155485.3344,155468.0653,157307.7552,155922.9346,158518.6935,154287.655,153185.5002,161022.5653,150419.9287,165642.2278,150743.746,149248.5453,169565.681,183280.6286,190405.3992,202318.0951,207220.8983,205609.1892,208941.3594,203197.1499,193946.8373,209036.9299,181810.4206,178105.3269,176648.5603,177058.9445,180772.8628,184700.0732,184490.2337,183143.6002,173312.4051,186085.6519,183362.1235,185481.72,188611.1663,184576.9858,180820.1145,178448.6398,176557.138,170220.906,161349.8489,165303.2053,159740.1582,150713.5897,143474.5197,138744.4004,139341.6591,115430.9605,105583.0665,90943.50987,78506.65791,62333.16732,54580.44853,61463.9867,60079.29638,56801.98035,54252.75587,51274.96379,45713.06713,39278.86603,35235.8201,29619.35104,25871.96203,21299.10494,16842.88459,13300.68149,10413.60186,7493.324112,5072.357878,3210.029855,1829.310762,993.3360026,438.1685322,146.7603127
